# started_at=2025-12-14T19:04:54+03:00
# cmd: vmstat 1
# app_pid=7559

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 24494308 205836 2962860    0    0     0   744 14677 26847 10  6 84  0  0
 4  1      0 24494308 205836 2962860    0    0 14048  1100 23836 56381 16  8 72  4  0
 6  0      0 24494308 205836 2962860    0    0  1648   360 12171 20408 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0   128   508 16391 30504  9  7 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   456 13868 22806 10  5 84  1  0
 2  1      0 24494308 205836 2962860    0    0     0  2108 15391 26282  9  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   608 14590 27396  9  5 86  1  0
 3  0      0 24494308 205836 2962860    0    0   260  1308 18702 33624 15  4 79  2  0
 3  0      0 24494308 205836 2962860    0    0    48  2204 31456 75334 14  7 75  4  0
 6  1      0 24494308 205836 2962860    0    0     0  1132 19526 37143 11  5 83  2  0
 3  1      0 24494308 205836 2962860    0    0     4 12576 19593 36923  8  4 77 11  0
 2  0      0 24494308 205836 2962860    0    0     4  1544 15683 35014  8  5 86  1  0
 5  0      0 24494308 205836 2962860    0    0     0   504 14184 26876 10  5 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0 12620 18578 38269 10  6 79  5  0
 2  0      0 24494308 205836 2962860    0    0     0   444 12798 19866 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   820 17654 30900 10  6 82  2  0
 2  0      0 24494308 205836 2962860    0    0     0   948 12217 19593  8  4 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 24494308 205836 2962860    0    0     0   180 11872 17761  8  3 88  0  0
 3  0      0 24494308 205836 2962860    0    0     0   492 13996 24883  8  5 86  1  0
 6  0      0 24494308 205836 2962860    0    0     0   220 12800 20773 10  4 85  0  0
 3  0      0 24494308 205836 2962860    0    0     0 13204 15263 29286  9  5 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   560 12571 19013 10  4 86  0  0
 3  1      0 24494308 205836 2962860    0    0     0   688 16014 29156  8  5 87  1  0
 3  0      0 24494308 205836 2962860    0    0   780   736 17513 33657 11  6 83  1  0
 2  0      0 24494308 205836 2962860    0    0  1404   440 18450 26008 13  4 83  0  0
 4  0      0 24494308 205836 2962860    0    0   400  8420 24870 40119 11  6 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0  3228 23161 39275  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   556 18551 34080 10  4 85  1  0
 5  0      0 24494308 205836 2962860    0    0     0   388 17520 33625 11  2 86  1  0
 2  0      0 24494308 205836 2962860    0    0    20   628 21331 38220 11  4 84  1  0
 4  0      0 24494308 205836 2962860    0    0     4  2500 16072 26815  9  3 87  0  0
 2  0      0 24494308 205836 2962860    0    0     0  1192 16539 26675  9  3 88  1  0
 2  0      0 24494308 205836 2962860    0    0     0   552 16432 29380  9  3 88  0  0
 2  0      0 24494308 205836 2962860    0    0   128   508 17184 30325  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   628 21845 44468 11  4 84  1  0
 1  0      0 24494308 205836 2962860    0    0     0  2688 20502 35374 11  5 84  1  0
 4  0      0 24494308 205836 2962860    0    0     0  1048 16203 28168  8  4 88  0  0
 3  0      0 24494308 205836 2962860    0    0     0   596 16686 29207  8  2 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 24494308 205836 2962860    0    0     0   560 18518 38694 10  4 85  1  0
 2  0      0 24494308 205836 2962860    0    0    84   380 22463 40440 14  5 81  0  0
 2  0      0 24494308 205836 2962860    0    0     0   640 18051 33156  9  5 85  1  0
 1  0      0 24494308 205836 2962860    0    0     0  7900 21457 35479  8  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   408 11751 18090  2  3 94  1  0
 7  0      0 24494308 205836 2962860    0    0     0   644 16537 32961  6  5 89  1  0
 2  0      0 24494308 205836 2962860    0    0     0   944 21897 46890 14  6 78  1  0
 3  0      0 24494308 205836 2962860    0    0    72  5452 19037 34499  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   348 17651 33416  9  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   416 17339 28189 10  3 86  1  0
 2  1      0 24494308 205836 2962860    0    0     0  1996 21117 41192 10  5 84  1  0
 3  1      0 24494308 205836 2962860    0    0     0   912 19246 35026 10  4 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0 30760 23011 39547  9  5 82  4  0
 1  0      0 24494308 205836 2962860    0    0     0   364 17359 29933  8  4 87  0  0
 1  0      0 24494308 205836 2962860    0    0     0   348 16620 30764  8  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   360 18349 34542  9  4 87  0  0
 3  1      0 24494308 205836 2962860    0    0     0   508 24570 35155 13  5 82  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1324 19715 36045 11  5 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   328 16143 27787  9  4 87  0  0
 2  0      0 24494308 205836 2962860    0    0     0   304 17386 30486  9  4 87  0  0
 3  0      0 24494308 205836 2962860    0    0     0   512 18761 36746  8  4 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 24494308 205836 2962860    0    0     0   460 19157 33243 10  4 85  0  0
 2  0      0 24494308 205836 2962860    0    0     0  1120 17824 31639 10  3 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   528 19484 33208  7  5 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   336 12183 19307  2  3 94  0  0
 2  0      0 24494308 205836 2962860    0    0     0   300 12648 21572  3  3 94  0  0
 4  1      0 24494308 205836 2962860    0    0     0   716 19887 33890  9  4 86  1  0
 2  1      0 24494308 205836 2962860    0    0     0  9260 19747 40554 11  5 83  1  0
 2  0      0 24494308 205836 2962860    0    0   124   608 21298 40060 10  5 85  1  0
 5  0      0 24494308 205836 2962860    0    0     0   552 19904 36562 11  5 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   460 20421 36870 10  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   564 18528 34138  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0  7776 19210 30323  8  4 88  0  0
 3  0      0 24494308 205836 2962860    0    0     0   488 16768 29147  9  3 88  1  0
 3  0      0 24494308 205836 2962860    0    0    48   324 15360 26205  8  3 88  0  0
 4  0      0 24494308 205836 2962860    0    0     0   508 19293 39510 10  4 85  1  0
 7  1      0 24494308 205836 2962860    0    0     0   672 19676 35506 14  4 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0   808 22239 40693 12  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1260 17228 29196  8  4 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   320 16621 29460  8  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   492 19474 36904  9  3 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0   584 17855 32585 10  4 86  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24494308 205836 2962860    0    0     0 26408 17873 32502 10  3 87  0  0
 2  0      0 24494308 205836 2962860    0    0     0  1488 20602 35264 10  5 85  1  0
 1  0      0 24494308 205836 2962860    0    0     0   476 14263 21774  2  4 93  1  0
 2  1      0 24494308 205836 2962860    0    0     0   536 14111 23586  3  4 92  1  0
 1  0      0 24494308 205836 2962860    0    0     0   728 17300 28155  6  4 89  1  0
 3  0      0 24494308 205836 2962860    0    0     0   680 12282 19639  2  3 94  1  0
 2  0      0 24494308 205836 2962860    0    0     0   600 14878 24256  4  4 92  0  0
 5  1      0 24494308 205836 2962860    0    0     0  1020 24317 48688 14  5 80  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1288 17408 33233  8  2 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   476 18049 31601 11  3 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   340 16955 29266  9  3 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   512 17442 31225  8  4 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   620 19759 36594  9  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   932 17459 31470 11  4 85  0  0
 2  0      0 24494308 205836 2962860    0    0    44   632 21598 38399 12  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0   380 15544 25530  8  3 88  1  0
 2  1      0 24494308 205836 2962860    0    0     0  8040 18576 33016  9  4 87  0  0
 2  0      0 24494308 205836 2962860    0    0     0   320 15744 29019  8  2 89  0  0
 3  0      0 24494308 205836 2962860    0    0     0  1060 18221 33925 10  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   532 18468 34338 12  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   684 20683 36833 12  6 81  1  0
