# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:06:30 PM         4      1162      2.60      1.35      0.54         0
07:06:31 PM         2      1158      2.60      1.35      0.54         0
07:06:32 PM         2      1159      2.60      1.35      0.54         0
07:06:33 PM         2      1160      2.60      1.35      0.54         0
07:06:34 PM         3      1162      2.71      1.40      0.56         0
07:06:35 PM         3      1160      2.71      1.40      0.56         0
07:06:36 PM         2      1160      2.71      1.40      0.56         0
07:06:37 PM         2      1162      2.71      1.40      0.56         0
07:06:38 PM         3      1159      2.71      1.40      0.56         0
07:06:39 PM         3      1162      2.57      1.39      0.56         0
07:06:40 PM         7      1161      2.57      1.39      0.56         0
07:06:41 PM         3      1163      2.57      1.39      0.56         0
07:06:42 PM         3      1161      2.57      1.39      0.56         0
07:06:43 PM         2      1156      2.57      1.39      0.56         0
07:06:44 PM         2      1156      2.53      1.40      0.57         0
07:06:45 PM        12      1172      2.53      1.40      0.57         0
07:06:46 PM         2      1176      2.53      1.40      0.57         0
07:06:47 PM         6      1176      2.53      1.40      0.57         0
07:06:48 PM         2      1159      2.53      1.40      0.57         0
07:06:49 PM         2      1158      2.40      1.39      0.57         1
07:06:50 PM         2      1158      2.40      1.39      0.57         0
07:06:51 PM         6      1179      2.40      1.39      0.57         1
07:06:52 PM         2      1158      2.40      1.39      0.57         0
07:06:53 PM         3      1159      2.40      1.39      0.57         0
07:06:54 PM         2      1160      2.29      1.39      0.57         0
07:06:55 PM         4      1163      2.29      1.39      0.57         1
07:06:56 PM         4      1163      2.29      1.39      0.57         0
07:06:57 PM         3      1161      2.29      1.39      0.57         0
07:06:58 PM         2      1158      2.29      1.39      0.57         0
07:06:59 PM         2      1158      2.51      1.45      0.60         0
07:07:00 PM         5      1160      2.51      1.45      0.60         0
07:07:01 PM         2      1162      2.51      1.45      0.60         0
07:07:02 PM         3      1163      2.51      1.45      0.60         0
07:07:03 PM         1      1159      2.51      1.45      0.60         0
07:07:04 PM         3      1156      2.47      1.45      0.61         0
07:07:05 PM         3      1157      2.47      1.45      0.61         0
07:07:06 PM         3      1176      2.47      1.45      0.61         0
07:07:07 PM         3      1175      2.47      1.45      0.61         0
07:07:08 PM         3      1179      2.47      1.45      0.61         0
07:07:09 PM         1      1165      2.75      1.53      0.64         0
07:07:10 PM         3      1160      2.75      1.53      0.64         0
07:07:11 PM         1      1158      2.75      1.53      0.64         0
07:07:12 PM         1      1161      2.75      1.53      0.64         0
07:07:13 PM         4      1163      2.75      1.53      0.64         0
07:07:14 PM         2      1159      2.61      1.52      0.64         0
07:07:15 PM         2      1161      2.61      1.52      0.64         2
07:07:16 PM         3      1164      2.61      1.52      0.64         0
07:07:17 PM         1      1163      2.61      1.52      0.64         0
07:07:18 PM         1      1159      2.61      1.52      0.64         0
07:07:19 PM         1      1159      2.48      1.51      0.64         0
07:07:20 PM         2      1160      2.48      1.51      0.64         0
07:07:21 PM         2      1163      2.48      1.51      0.64         0
07:07:22 PM         1      1160      2.48      1.51      0.64         0
07:07:23 PM         0      1159      2.48      1.51      0.64         0
