# started_at=2025-12-14T19:04:55+03:00
# cmd: pidstat -d -p 7559 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:06:14 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:06:15 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:06:16 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:17 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:06:18 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:19 PM 174209043      7559      0.00      0.00      0.00       0  app_linux_amd64
07:06:20 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:06:21 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:06:22 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:06:23 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:06:24 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:25 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:06:26 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:27 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:06:28 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:06:29 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:06:30 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:31 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:32 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:33 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:06:34 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:06:35 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:36 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:06:37 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:38 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:06:39 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:06:40 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:06:41 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:06:42 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:06:43 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:44 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:06:45 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:06:46 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:47 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:06:48 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:06:49 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:06:50 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:51 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
