# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          3          1          2          0          3        130          0          1         25         40          0          0          0          0
       TIMER:       8173       7894       7248       5508       7018       5190       7662       4679       7656       5494       7470       5807          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       4662       2552       4428       2928       4386       2954       7844       3028       4422       2785       4693       2542          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         17         29         11        109       5921          7        148        213       1569          0          0          0          0
       SCHED:      68785      73777      65553      66479      64840      64548      63678      61671      63150      60381      63326      60102          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      74311      63484      74581      59633      75571      63243      75265      61408      74370      62873      69836      59793          0          0          0          0

### ts=2025-12-14T19:08:40+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          3          1          2          0          3        130          0          1         25         40          0          0          0          0
       TIMER:       8449       8164       7428       5633       7319       5340       7948       4823       7910       5661       7660       5960          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       5032       2850       4677       3111       4787       3249       8281       3241       4750       3094       5068       2812          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         17         29         11        109       5921          7        148        213       1590          0          0          0          0
       SCHED:      69933      74975      66673      67824      66043      65809      64874      63024      64271      61587      64500      61263          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      76037      64632      76533      61149      76740      64135      77170      62689      75726      64090      71669      61074          0          0          0          0

### ts=2025-12-14T19:08:45+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          3          1          2          0          3        130          0          1         25         40          0          0          0          0
       TIMER:       8797       8417       7759       5820       7560       5462       8155       4997       8097       5766       7868       6042          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       5460       3128       5085       3438       5197       3516       8638       3545       5053       3301       5451       2987          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         17         29         11        109       5921          7        148        213       1604          0          0          0          0
       SCHED:      71145      76268      67879      69102      67253      67145      66041      64186      65318      62736      65638      62542          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      77379      65613      77732      62584      78188      65060      78845      64408      77038      65324      73214      62141          0          0          0          0

### ts=2025-12-14T19:08:50+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        133          0          1         25         41          0          0          0          0
       TIMER:       9009       8577       8082       5995       7846       5591       8395       5075       8295       6049       8128       6170          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       5779       3330       5553       3749       5613       3785       9076       3660       5374       3616       5839       3207          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5945          7        148        213       1635          0          0          0          0
       SCHED:      72393      77566      69090      70333      68444      68410      67177      65204      66455      63958      66807      63797          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      78880      67114      78823      63783      79242      66350      79982      65617      78045      66050      74487      63030          0          0          0          0

### ts=2025-12-14T19:08:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        134          0          1         25         41          0          0          0          0
       TIMER:       9256       8820       8340       6142       8059       5835       8702       5245       8455       6144       8407       6375          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       6244       3594       5994       4030       5974       4118       9566       3940       5653       3758       6201       3501          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5950          7        148        213       1649          0          0          0          0
       SCHED:      73634      78753      70248      71542      69609      69676      68351      66393      67489      65038      67910      64999          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      80316      68264      80323      65072      80921      67711      81811      67007      79674      67703      75837      64022          0          0          0          0

### ts=2025-12-14T19:09:00+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        134          0          1         25         41          0          0          0          0
       TIMER:       9444       9077       8536       6297       8267       6112       9037       5394       8701       6299       8596       6521          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       6599       3978       6310       4307       6357       4402      10005       4149       6043       3982       6503       3760          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5950          7        148        213       1670          0          0          0          0
       SCHED:      74794      80054      71352      72779      70776      70921      69567      67723      68710      66226      69063      66109          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      81892      69065      81372      66253      82251      68571      83128      68553      81652      69027      77417      65013          0          0          0          0

### ts=2025-12-14T19:09:05+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        134          0          1         25         41          0          0          0          0
       TIMER:       9702       9259       8744       6401       8479       6323       9260       5605       9003       6484       8819       6657          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       6966       4235       6694       4468       6662       4701      10323       4488       6447       4277       6849       4032          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5950          7        148        213       1684          0          0          0          0
       SCHED:      75997      81312      72516      73939      71895      72239      70748      68899      69886      67329      70240      67422          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      83706      70692      82907      67458      83637      69692      84329      69734      82891      70098      79505      66110          0          0          0          0

### ts=2025-12-14T19:09:10+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        134          0          1         25         41          0          0          0          0
       TIMER:      10006       9553       8987       6570       8656       6455       9535       5767       9200       6577       9129       6806          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       7288       4599       7086       4735       7003       4960      10683       4759       6765       4440       7231       4270          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5950          7        148        213       1705          0          0          0          0
       SCHED:      77218      82723      73742      75125      73086      73408      71957      70124      71033      68559      71431      68636          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      84692      71584      83717      68330      84993      71763      85850      70666      84144      71527      80850      67128          0          0          0          0

### ts=2025-12-14T19:09:15+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        134          0          1         25         41          0          0          0          0
       TIMER:      10194       9725       9218       6727       8859       6696       9746       6054       9386       6723       9428       6960          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       7638       4805       7472       5035       7355       5223      11035       5123       7083       4705       7647       4508          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         20         15         19         29         11        113       5950          7        148        213       1719          0          0          0          0
       SCHED:      78409      83853      74958      76354      74257      74573      73163      71297      72127      69682      72601      69772          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      85639      73153      85242      69443      86415      72632      87152      71908      85125      72820      82263      68016          0          0          0          0

### ts=2025-12-14T19:09:20+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        136          2          1         25         42          0          0          0          0
       TIMER:      10382       9880       9518       6907       9162       6797       9953       6336       9612       6904       9679       7122          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       7848       4986       7878       5287       7732       5396      11445       5372       7401       4969       8136       4801          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        114       5958         23        148        213       1750          0          0          0          0
       SCHED:      79357      85072      76178      77656      75435      75922      74353      72536      73277      70876      73842      70996          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      87054      74329      86295      70638      87785      74080      88743      72968      86473      74136      83888      69339          0          0          0          0

### ts=2025-12-14T19:09:25+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      10577      10049       9745       7140       9428       6961      10127       6450       9871       7151       9922       7379          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       8198       5179       8135       5542       8095       5674      11735       5536       7835       5258       8511       5148          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        114       5961         25        148        213       1764          0          0          0          0
       SCHED:      80547      86222      77287      79055      76604      77294      75510      73622      74490      72109      75056      72215          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      88744      75615      87846      71926      88718      75295      90008      74485      87904      75247      85205      70218          0          0          0          0

### ts=2025-12-14T19:09:30+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      10826      10280       9962       7311       9674       7196      10360       6646      10053       7352      10128       7530          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       8620       5419       8538       5832       8457       5940      12132       5811       8206       5494       8779       5344          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        114       5961         25        148        213       1785          0          0          0          0
       SCHED:      81738      87657      78464      80424      77813      78505      76654      74779      75647      73322      76184      73290          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      90085      76552      89293      73156      90007      76401      91150      75429      89246      76235      86486      71187          0          0          0          0

### ts=2025-12-14T19:09:35+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      11060      10507      10213       7425       9890       7362      10594       6951      10254       7530      10387       7706          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       9026       5769       8924       5977       8812       6172      12588       6024       8575       5693       9172       5713          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        114       5961         25        148        213       1799          0          0          0          0
       SCHED:      82949      88864      79608      81673      78965      79818      77801      75874      76777      74337      77391      74543          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      91541      77904      90602      74221      91586      77706      92279      76455      90433      77605      88038      72593          0          0          0          0

### ts=2025-12-14T19:09:40+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      11335      10776      10490       7595      10136       7498      10884       7111      10511       7726      10574       7786          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       9436       6040       9386       6183       9179       6424      13047       6282       8964       6032       9449       5788          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        115       5961         25        148        213       1813          0          0          0          0
       SCHED:      84110      90034      80802      82866      80142      81079      78977      77124      77950      75541      78539      75497          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      92970      78938      91916      75263      92913      78839      94170      77530      91889      78995      88984      74353          0          0          0          0

### ts=2025-12-14T19:09:45+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      11515      10952      10700       7775      10411       7720      11132       7300      10708       7926      10773       7976          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:       9684       6249       9704       6402       9552       6671      13391       6589       9260       6402       9817       6131          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        115       5961         25        148        213       1834          0          0          0          0
       SCHED:      85129      91477      81902      84229      81304      82243      80161      78403      79044      76759      79700      76744          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      94340      79920      93124      76272      94220      79880      95505      78501      93119      79928      89987      75485          0          0          0          0

### ts=2025-12-14T19:09:50+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          1          2          0          3        137          2          1         25         42          0          0          0          0
       TIMER:      11823      11143      10899       7937      10796       7906      11371       7439      10940       8043      10979       8169          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      10033       6520      10076       6624       9973       7012      13852       6733       9644       6617      10231       6436          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         11        116       5961         25        151        213       1848          0          0          0          0
       SCHED:      86327      92734      83044      85362      82467      83594      81327      79403      80230      77911      80903      77911          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      95622      81204      94315      77597      95687      81256      97072      79505      94396      81196      91249      76376          0          0          0          0

### ts=2025-12-14T19:09:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      12076      11334      11138       8140      11048       8060      11616       7648      11194       8198      11247       8313          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      10376       6740      10421       6981      10331       7304      14234       7022       9955       6865      10624       6637          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         33        116       5970         25        152        213       1879          0          0          0          0
       SCHED:      87517      94021      84206      86596      83611      84770      82478      80462      81366      78954      82057      79010          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      96672      82094      95722      78714      96831      82193      98358      80428      95415      82496      92231      77371          0          0          0          0

### ts=2025-12-14T19:10:00+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      12247      11545      11257       8247      11199       8119      11707       7723      11297       8380      11401       8411          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      10550       6835      10566       7131      10470       7364      14340       7065      10043       7017      10770       6731          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         33        116       5970         25        152        213       1893          0          0          0          0
       SCHED:      88582      95159      85276      87718      84653      86023      83381      81505      82396      80143      83208      80200          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      97989      83310      97134      80271      98722      83488      99828      81585      96779      83657      93643      78793          0          0          0          0

### ts=2025-12-14T19:10:05+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      12531      11807      11518       8471      11465       8310      12012       7991      11607       8664      11729       8625          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      11145       7270      11104       7617      11078       7857      15062       7634      10691       7501      11376       7105          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         33        116       5970         25        152        213       1914          0          0          0          0
       SCHED:      89722      96418      86377      88937      85787      87178      84499      82760      83555      81262      84364      81507          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      99357      84924      98524      81495     100292      84726     101426      82628      98223      84895      95202      79998          0          0          0          0

### ts=2025-12-14T19:10:10+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      12827      12130      11836       8739      11754       8539      12355       8237      11966       9024      12112       8915          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      11827       7918      11751       8166      11685       8317      15840       8175      11370       8151      12147       7663          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         33        116       5970         25        152        213       1928          0          0          0          0
       SCHED:      90874      97732      87493      90120      86906      88226      85623      84073      84729      82463      85497      82750          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     100969      85984      99696      83257     101962      85693     103210      84061     100057      86447      96769      80864          0          0          0          0

### ts=2025-12-14T19:10:15+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      13137      12525      12199       8983      12078       8765      12670       8514      12337       9322      12416       9154          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      12464       8517      12427       8590      12402       8780      16584       8789      12174       8740      12838       8031          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         32         21         15         19         33         33        116       5970         25        152        213       1949          0          0          0          0
       SCHED:      92029      98901      88650      91356      88058      89431      86778      85335      85932      83679      86651      83833          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     102551      87195     100637      84229     103326      87170     104825      85239     101563      87726      98198      82586          0          0          0          0

### ts=2025-12-14T19:10:20+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          4          2          2          2          3        139          2          1         25         43          0          0          0          0
       TIMER:      13570      12808      12521       9264      12406       9042      12971       8727      12708       9622      12719       9431          0          0          0          0
