# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      23347      20602      22871      18807      22504      20498      23704      18644      23306      20219      22333      18131          0          0          0          0

### ts=2025-12-14T19:05:25+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          0          0          1        112          0          1         24         33          0          0          0          0
       TIMER:       2795       2628       2122       2066       1840       1383       1978       1223       2130       1645       2228       2342          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        276        167        136        211        168        151       2267        268        222        144        156        147          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1          9          8         86       5828          0        142        202        828          0          0          0          0
       SCHED:      24221      25272      22380      22304      21681      21220      21229      19725      21204      19319      21551      20122          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      24520      21352      23829      19354      24082      21582      25052      20002      24567      21538      23168      18887          0          0          0          0

### ts=2025-12-14T19:05:30+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          0          0          1        112          0          1         24         33          0          0          0          0
       TIMER:       2880       2755       2234       2089       1901       1407       2165       1244       2252       1689       2363       2386          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        276        169        136        211        172        151       2284        268        222        144        158        147          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1          9          8         86       5828          0        142        202        842          0          0          0          0
       SCHED:      25564      26860      23549      23299      22843      22301      22315      20716      22325      20146      22689      20927          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      25413      22010      25404      20068      25031      22673      26269      20970      25589      22813      24157      19820          0          0          0          0

### ts=2025-12-14T19:05:35+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          0          0          1        112          0          1         24         33          0          0          0          0
       TIMER:       2923       2853       2272       2161       2083       1483       2255       1298       2365       1748       2443       2438          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        276        169        136        211        172        151       2297        268        222        144        158        147          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1          9          8         86       5828          0        142        202        863          0          0          0          0
       SCHED:      26787      28277      24796      24561      24054      23406      23439      21724      23426      21189      23811      21765          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      26540      22712      26474      20839      25891      23341      27348      22185      26518      24214      25299      20825          0          0          0          0

### ts=2025-12-14T19:05:40+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          1        113          0          1         24         34          0          0          0          0
       TIMER:       2960       2938       2350       2199       2114       1511       2402       1323       2523       1966       2584       2468          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        282        180        138        212        177        152       2348        272        223        149        166        152          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1         23          8         92       5834          4        142        202        887          0          0          0          0
       SCHED:      27954      29448      26020      25774      25140      24442      24526      22792      24587      22191      24902      22760          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      28115      24669      27940      21679      27106      24331      28910      22962      27520      24901      26173      21814          0          0          0          0

### ts=2025-12-14T19:05:45+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        116          0          1         25         35          0          0          0          0
       TIMER:       3101       3067       2461       2289       2203       1565       2540       1411       2627       2011       2671       2576          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
