# started_at=2025-12-14T01:53:18+03:00
# cmd: vmstat 1
# app_pid=1101786

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 10749536 1087176 8279352    0    0     0   704 30162 32950 52 17 31  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1492 27337 34967 49 18 33  0  0
10  0      0 10749536 1087176 8279352    0    0     0   632 19313 32536 38 10 52  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   708 19471 45276 27 15 58  0  0
16  0      0 10749536 1087176 8279352    0    0     0 10612 18718 37048 33 13 53  1  0
 9  0      0 10749536 1087176 8279352    0    0     0   852 21031 35587 44 14 40  1  0
 3  0      0 10749536 1087176 8279352    0    0     0  1384 19145 31266 46 10 43  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   900 19928 39868 28 14 57  0  0
14  0      0 10749536 1087176 8279352    0    0     0  1292 21392 49637 38 16 44  2  0
18  0      0 10749536 1087176 8279352    0    0     0  1392 21963 41547 60 16 24  0  0
12  0      0 10749536 1087176 8279352    0    0     0   712 17992 34165 49 14 37  0  0
13  0      0 10749536 1087176 8279352    0    0     0   616 17167 31085 50 13 37  0  0
 7  0      0 10749536 1087176 8279352    0    0     0  2368 24766 45522 30 14 56  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   432 18872 32647 46 12 42  0  0
18  0      0 10749536 1087176 8279352    0    0     0   592 19015 37362 29 11 60  0  0
19  1      0 10749536 1087176 8279352    0    0     0   816 21288 37837 46 15 38  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   556 18403 31377 47 12 42  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1544 16399 33590 41 11 48  0  0
12  1      0 10749536 1087176 8279352    0    0     0 31368 27255 45847 43 17 35  5  0
24  1      0 10749536 1087176 8279352    0    0     0   948 19563 37645 48 12 39  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 10749536 1087176 8279352    0    0     0   400 18225 27589 52 11 37  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   600 19781 34912 34 13 52  1  0
19  0      0 10749536 1087176 8279352    0    0     0   884 17977 37299 35 13 51  0  0
12  0      0 10749536 1087176 8279352    0    0     0  1076 21705 40045 47 15 38  0  0
 3  0      0 10749536 1087176 8279352    0    0     0  1988 21246 38800 40 14 46  1  0
 9  0      0 10749536 1087176 8279352    0    0     0   604 17506 34083 43 12 45  0  0
 8  0      0 10749536 1087176 8279352    0    0     0   656 21377 37086 49 13 38  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   472 18481 29117 46 10 44  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  1176 19514 35078 48 17 36  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1836 19318 40087 26 12 62  0  0
11  0      0 10749536 1087176 8279352    0    0     0   580 19576 30506 45 12 43  0  0
10  0      0 10749536 1087176 8279352    0    0     0   508 19167 33559 51 13 36  0  0
 6  1      0 10749536 1087176 8279352    0    0     0   896 19790 37342 49 17 34  0  0
12  0      0 10749536 1087176 8279352    0    0     0   472 19964 35157 41 13 46  0  0
11  0      0 10749536 1087176 8279352    0    0     0  8584 20421 31725 50 12 37  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  1024 21866 37725 33 15 51  1  0
13  0      0 10749536 1087176 8279352    0    0     0   524 19131 38797 33 11 56  0  0
12  0      0 10749536 1087176 8279352    0    0     0   464 20604 34162 49 12 39  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1008 19146 35900 50 15 34  1  0
 9  0      0 10749536 1087176 8279352    0    0     0 19848 21010 37336 49 15 36  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1224 22421 47339 51 17 32  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 10749536 1087176 8279352    0    0     0   616 17519 34983 34 11 54  1  0
14  0      0 10749536 1087176 8279352    0    0     0   724 22051 41122 41 18 41  1  0
20  0      0 10749536 1087176 8279352    0    0     0   592 20637 36998 44 10 45  1  0
 6  0      0 10749536 1087176 8279352    0    0     0  1008 19149 39906 47 16 36  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  2616 20806 42222 48 16 35  1  0
14  0      0 10749536 1087176 8279352    0    0     0   940 17939 35766 43 10 46  1  0
10  0      0 10749536 1087176 8279352    0    0     0   784 22661 38436 44 16 39  1  0
10  0      0 10749536 1087176 8279352    0    0     0  1108 23465 44569 47 14 39  1  0
14  1      0 10749536 1087176 8279352    0    0     0  1080 20394 39163 50 12 37  1  0
15  0      0 10749536 1087176 8279352    0    0     0  1764 18618 32897 50 14 35  1  0
18  0      0 10749536 1087176 8279352    0    0     0   736 20036 34568 49 14 37  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1312 21404 42846 48 16 35  1  0
 7  1      0 10749536 1087176 8279352    0    0     0   628 19932 38445 36 13 51  1  0
16  0      0 10749536 1087176 8279352    0    0     0   740 20164 40627 28 14 57  1  0
10  1      0 10749536 1087176 8279352    0    0     0   964 21194 39091 57 16 27  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   604 19734 39090 51 13 36  0  0
14  1      0 10749536 1087176 8279352    0    0     0  2364 20498 37060 48 15 37  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  1092 21583 41908 49 17 34  1  0
 6  0      0 10749536 1087176 8279352    0    0     0 18340 21793 37437 47 11 41  1  0
20  0      0 10749536 1087176 8279352    0    0     0  1084 45642 40931 26 17 57  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   884 35442 44193 28 19 52  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 10749536 1087176 8279352    0    0     0  1852 20300 34538 48 15 36  1  0
22  0      0 10749536 1087176 8279352    0    0     0  1064 21818 42520 49 13 37  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  8284 22184 36599 40 15 45  1  0
14  0      0 10749536 1087176 8279352    0    0     0   500 17506 33694 34 11 55  0  0
18  1      0 10749536 1087176 8279352    0    0     0  1068 20993 37602 46 14 39  1  0
 8  1      0 10749536 1087176 8279352    0    0     0  1932 20756 35699 30 15 54  0  0
12  0      0 10749536 1087176 8279352    0    0     0  1344 20598 37776 44 16 38  1  0
12  1      0 10749536 1087176 8279352    0    0     0   824 20051 44362 36 15 49  1  0
15  0      0 10749536 1087176 8279352    0    0     0  1076 21031 36870 50 16 34  0  0
30  0      0 10749536 1087176 8279352    0    0     0  1292 24551 50171 50 18 31  1  0
23  0      0 10749536 1087176 8279352    0    0     0   708 17786 31461 44 12 44  0  0
10  0      0 10749536 1087176 8279352    0    0     0  1996 19784 32703 45 14 41  0  0
20  1      0 10749536 1087176 8279352    0    0     0  1092 20607 37214 50 16 34  1  0
12  0      0 10749536 1087176 8279352    0    0     0   932 19595 36118 49 13 37  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   596 19041 30674 39 10 51  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   652 18955 36703 25 11 64  1  0
12  0      0 10749536 1087176 8279352    0    0     0  2456 22272 49319 31 16 52  2  0
14  0      0 10749536 1087176 8279352    0    0     0 28436 25026 42096 39 14 46  2  0
 4  0      0 10749536 1087176 8279352    0    0     0   804 19418 32443 47 13 40  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   848 18241 36490 24 12 64  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  1104 22520 42320 46 13 40  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 10749536 1087176 8279352    0    0     0   656 18664 38522 47 14 39  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   916 22419 35374 58 17 25  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   708 19451 36217 47 13 39  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   916 22062 39206 50 14 35  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   764 19987 38989 49 13 37  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1008 19548 37030 47 15 37  0  0
 3  0      0 10749536 1087176 8279352    0    0     0  2664 21108 40274 48 14 37  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   608 19899 41706 28 16 56  1  0
17  0      0 10749536 1087176 8279352    0    0     0   640 17902 35713 38 14 47  0  0
22  0      0 10749536 1087176 8279352    0    0     0   804 22229 40577 46 12 41  1  0
16  0      0 10749536 1087176 8279352    0    0     0   724 19664 35905 44 15 40  0  0
18  0      0 10749536 1087176 8279352    0    0     0  8636 22990 39824 48 13 38  1  0
15  0      0 10749536 1087176 8279352    0    0     0   596 19117 34596 48 13 38  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  1116 21144 38280 55 16 28  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   660 19586 38143 27 14 58  1  0
13  0      0 10749536 1087176 8279352    0    0     0   804 18183 36455 30 14 55  1  0
 6  0      0 10749536 1087176 8279352    0    0     0 18944 25229 46050 44 15 41  1  0
 6  0      0 10749536 1087176 8279352    0    0     0  2116 19981 39781 50 17 33  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   996 21006 39422 51 13 34  1  0
14  1      0 10749536 1087176 8279352    0    0     0   660 18633 33809 48 13 38  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1104 20997 38873 48 18 34  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 10749536 1087176 8279352    0    0     0  1240 19789 39500 49 12 38  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1484 20454 38740 48 11 41  0  0
 8  2      0 10749536 1087176 8279352    0    0     0   988 20895 37088 48 16 35  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  1372 22885 50000 54 20 25  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   900 19511 37029 47 12 41  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  7836 22012 45122 49 16 34  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   688 19801 38545 49 16 35  1  0
 3  0      0 10749536 1087176 8279352    0    0     0  2300 18766 34570 48 11 40  1  0
25  0      0 10749536 1087176 8279352    0    0     0   732 16420 32599 40 14 46  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  1272 24689 44386 37 17 45  1  0
 7  1      0 10749536 1087176 8279352    0    0     0   612 21445 37029 49 12 38  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   748 17991 35967 25 10 64  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1952 23517 42819 50 17 32  1  0
 7  1      0 10749536 1087176 8279352    0    0     0   624 19109 35864 26 11 63  1  0
 4  1      0 10749536 1087176 8279352    0    0     0   672 20399 33393 46 12 42  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   904 20798 42152 51 16 32  1  0
12  1      0 10749536 1087176 8279352    0    0     0 18664 34571 36736 48 16 35  1  0
 5  1      0 10749536 1087176 8279352    0    0     0  1908 53626 34754 47 14 39  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   664 21177 36416 48 14 38  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1156 20669 37685 50 15 34  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   548 19589 38647 48 13 38  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 10749536 1087176 8279352    0    0     0  1012 19436 33604 49 14 36  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   536 20219 35438 48 14 38  0  0
15  0      0 10749536 1087176 8279352    0    0     0  2208 22101 42256 47 16 36  1  0
16  0      0 10749536 1087176 8279352    0    0     0   716 19815 35205 49 13 37  1  0
12  0      0 10749536 1087176 8279352    0    0     0   716 20810 37851 51 18 30  0  0
13  0      0 10749536 1087176 8279352    0    0     0  8076 23248 40408 51 15 33  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   696 19667 39144 50 16 33  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1296 22040 43401 48 17 33  1  0
17  0      0 10749536 1087176 8279352    0    0     0   644 19227 33224 51 11 37  0  0
16  0      0 10749536 1087176 8279352    0    0   128  1384 24400 53178 45 21 33  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1052 20281 36524 52 13 34  1  0
13  0      0 10749536 1087176 8279352    0    0     0 18400 21307 33036 43 12 45  1  0
24  0      0 10749536 1087176 8279352    0    0     0  2408 20082 33437 53 15 31  0  0
 3  1      0 10749536 1087176 8279352    0    0     0  1148 21469 41527 46 17 36  1  0
 7  0      0 10749536 1087176 8279352    0    0     0 15416 23106 43687 49 16 34  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   580 18220 31102 49 11 39  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   728 20603 35730 50 15 35  1  0
24  0      0 10749536 1087176 8279352    0    0     0  1040 18127 37202 50 14 36  1  0
12  0      0 10749536 1087176 8279352    0    0     0   776 19860 37788 48 13 38  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   796 19793 43799 52 17 30  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   576 20489 35600 44 11 45  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 10749536 1087176 8279352    0    0     0  1140 19345 40671 44 16 39  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   584 23215 36923 51 12 36  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   816 18961 39698 27 15 57  1  0
 9  0      0 10749536 1087176 8279352    0    0     0  2336 23221 41317 50 15 34  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   796 19776 38619 49 15 35  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   660 18944 37093 26 13 60  1  0
 6  0      0 10749536 1087176 8279352    0    0     0  1080 20189 35905 45 13 42  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   788 19123 32811 59 15 25  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   572 19163 36378 50 15 35  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  1556 20737 35425 47 13 40  1  0
16  1      0 10749536 1087176 8279352    0    0     0  1136 20730 38731 47 15 36  1  0
 5  1      0 10749536 1087176 8279352    0    0     0   752 18762 35090 28 14 57  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   892 20473 36707 47 13 39  1  0
 6  2      0 10749536 1087176 8279352    0    0     0 25156 23333 40922 46 14 40  1  0
 6  1      0 10749536 1087176 8279352    0    0     0  1872 21604 44277 29 16 54  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   620 19205 32881 46 15 38  1  0
27  0      0 10749536 1087176 8279352    0    0     0   908 21930 41669 50 15 35  1  0
15  0      0 10749536 1087176 8279352    0    0     0  1052 21783 42180 48 15 37  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   744 19507 44581 49 14 36  0  0
 6  1      0 10749536 1087176 8279352    0    0     0   740 19477 35832 48 13 39  0  0
20  0      0 10749536 1087176 8279352    0    0     0  1268 24131 52201 45 18 35  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 10749536 1087176 8279352    0    0     0  2676 23196 46787 46 18 35  1  0
16  0      0 10749536 1087176 8279352    0    0     0   684 17643 32359 43 12 45  1  0
 3  0      0 10749536 1087176 8279352    0    0     0  1072 22390 43472 46 13 40  1  0
11  0      0 10749536 1087176 8279352    0    0     0  1360 18936 36414 28 13 59  1  0
14  0      0 10749536 1087176 8279352    0    0     0   808 19454 33580 51 13 36  0  0
10  0      0 10749536 1087176 8279352    0    0     0  1592 19141 33038 51 12 37  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1404 20969 42936 52 18 29  1  0
13  0      0 10749536 1087176 8279352    0    0     0   644 20074 36786 51 15 33  1  0
18  0      0 10749536 1087176 8279352    0    0     0   564 18924 32812 50 11 38  0  0
11  0      0 10749536 1087176 8279352    0    0     0   548 19222 34554 48 14 37  1  0
17  2      0 10749536 1087176 8279352    0    0     0   872 18592 33545 48 16 36  0  0
18  1      0 10749536 1087176 8279352    0    0     0  1952 19072 38910 51 13 35  0  0
16  0      0 10749536 1087176 8279352    0    0     0   788 20023 37715 52 14 33  1  0
 8  1      0 10749536 1087176 8279352    0    0     0 18552 39815 36444 32 18 47  2  0
 6  0      0 10749536 1087176 8279352    0    0     0   956 33016 38391 49 17 33  1  0
 9  1      0 10749536 1087176 8279352    0    0     0   564 19879 34905 47 14 39  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   700 21181 40180 48 15 36  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   644 20643 37408 49 14 36  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   956 22109 43054 47 13 38  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   908 19785 36104 49 13 37  1  0
10  0      0 10749536 1087176 8279352    0    0     0   848 21171 36930 53 17 29  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 10749536 1087176 8279352    0    0     0  2264 17985 37942 45 10 44  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   868 20673 36192 48 15 37  1  0
 8  0      0 10749536 1087176 8279352    0    0     0  7776 20334 36130 48 16 36  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  1208 22525 41911 53 17 29  1  0
 5  1      0 10749536 1087176 8279352    0    0     0   640 18280 32291 47 13 39  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   808 21236 44179 30 16 53  1  0
15  1      0 10749536 1087176 8279352    0    0     0  2332 22557 51085 31 17 51  1  0
14  1      0 10749536 1087176 8279352    0    0     0  1400 20070 33448 49 12 38  0  0
16  0      0 10749536 1087176 8279352    0    0     0  1064 18327 36151 48 14 37  1  0
12  0      0 10749536 1087176 8279352    0    0     0   872 19647 35649 49 15 35  1  0
15  0      0 10749536 1087176 8279352    0    0     0   644 18452 33986 49 13 37  1  0
11  0      0 10749536 1087176 8279352    0    0     0 29896 28942 54051 48 21 28  3  0
11  0      0 10749536 1087176 8279352    0    0     0   716 20095 34762 50 13 36  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   552 19194 32811 43 10 46  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   504 19521 33064 46 12 42  0  0
 7  0      0 10749536 1087176 8279352    0    0     0  1228 22252 48830 35 20 43  1  0
22  0      0 10749536 1087176 8279352    0    0     0   536 20382 38765 49 15 35  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1892 19235 32872 47 12 41  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   640 18902 35924 48 14 37  1  0
16  0      0 10749536 1087176 8279352    0    0     0  1212 21190 40379 50 13 36  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   492 20114 40849 26 11 62  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 10749536 1087176 8279352    0    0     0   960 19817 42977 28 17 54  1  0
 4  1      0 10749536 1087176 8279352    0    0     0  1104 23987 40678 50 15 35  1  0
 6  1      0 10749536 1087176 8279352    0    0     0  1724 20630 38849 45 14 40  0  0
10  0      0 10749536 1087176 8279352    0    0     0   688 20103 36866 46 12 42  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   680 18952 39575 28 16 56  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   776 20325 36323 49 14 36  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   720 18944 32308 47 10 43  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   888 19100 34947 48 16 36  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   928 20906 41158 47 15 38  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  1896 20048 37099 49 14 37  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   988 20437 36009 49 14 37  0  0
 7  0      0 10749536 1087176 8279352    0    0     0 18452 20595 35064 49 16 35  1  0
 9  0      0 10749536 1087176 8279352    0    0     0  1308 24805 55153 30 18 51  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   996 22696 43932 49 16 34  1  0
 5  1      0 10749536 1087176 8279352    0    0     0  2120 18725 34342 47 15 38  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  1084 23307 46725 50 17 33  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  7424 22234 41578 54 17 29  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   636 18375 33175 48 16 36  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   852 20979 38277 48 14 37  1  0
 7  1      0 10749536 1087176 8279352    0    0     0  1364 22696 49226 28 15 56  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1052 23884 54712 29 16 54  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 10749536 1087176 8279352    0    0     0  7760 23480 38451 46 17 36  0  0
 4  1      0 10749536 1087176 8279352    0    0     0  1028 22154 41954 46 17 36  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   712 20917 39891 49 13 37  1  0
 8  0      0 10749536 1087176 8279352    0    0     0  2148 17613 34243 47 17 36  0  0
12  0      0 10749536 1087176 8279352    0    0     0  1012 21458 43347 55 12 32  1  0
 9  0      0 10749536 1087176 8279352    0    0     0  1044 19193 34846 47 18 34  1  0
14  0      0 10749536 1087176 8279352    0    0     0   672 19025 34641 50 14 36  0  0
16  0      0 10749536 1087176 8279352    0    0     0   744 19228 34737 49 14 37  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   624 17151 37119 45 16 38  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1528 23188 50344 46 18 36  1  0
 9  0      0 10749536 1087176 8279352    0    0     0  1004 32632 39845 53 18 28  0  0
 5  0      0 10749536 1087176 8279352    0    0     0 24096 40141 35420 44 17 38  1  0
13  0      0 10749536 1087176 8279352    0    0     0   612 20378 39523 49 17 34  0  0
18  0      0 10749536 1087176 8279352    0    0     0  1104 20605 37793 47 15 37  0  0
11  0      0 10749536 1087176 8279352    0    0     0  2292 22233 45715 48 17 34  1  0
12  1      0 10749536 1087176 8279352    0    0     0   992 20488 40179 47 17 35  1  0
12  0      0 10749536 1087176 8279352    0    0     0  6812 20700 37799 51 12 37  1  0
15  0      0 10749536 1087176 8279352    0    0     0   736 21645 38203 45 16 38  0  0
15  0      0 10749536 1087176 8279352    0    0     0  1032 22702 46807 48 17 35  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1196 22745 44463 51 16 33  1  0
18  0      0 10749536 1087176 8279352    0    0     0   992 21530 43712 45 18 37  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 10749536 1087176 8279352    0    0     0  7880 22046 41084 47 14 38  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   828 20905 39757 49 17 34  1  0
13  0      0 10749536 1087176 8279352    0    0     0   684 19512 39665 25 11 63  1  0
 6  0      0 10749536 1087176 8279352    0    0     0  2280 22958 43204 49 16 34  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   952 20952 43600 31 17 52  1  0
18  1      0 10749536 1087176 8279352    0    0     0  1616 23783 46217 52 16 31  1  0
26  0      0 10749536 1087176 8279352    0    0     0  1740 21082 51130 52 20 27  1  0
27  0      0 10749536 1087176 8279352    0    0     0   868 20762 32573 52 15 32  0  0
11  1      0 10749536 1087176 8279352    0    0     0  1064 22429 39364 57 14 29  0  0
11  1      0 10749536 1087176 8279352    0    0     0 32036 25149 52059 33 16 48  3  0
 3  1      0 10749536 1087176 8279352    0    0     0  1092 21332 39940 53 19 27  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   636 20656 40120 50 15 35  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   672 21018 37863 48 13 38  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   716 19760 41479 48 13 38  1  0
 9  1      0 10749536 1087176 8279352    0    0     0  1996 20044 41383 28 13 58  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   804 21872 40902 49 14 36  1  0
24  0      0 10749536 1087176 8279352    0    0     0  1068 18787 38871 49 18 33  0  0
 8  1      0 10749536 1087176 8279352    0    0     0   804 20452 38277 49 15 35  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   716 21480 41734 47 13 40  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1324 21701 40700 48 17 34  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  2016 19869 37800 48 17 34  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 10749536 1087176 8279352    0    0     0   828 22353 42113 47 12 40  1  0
12  0      0 10749536 1087176 8279352    0    0     0   888 19304 43618 43 18 38  1  0
15  0      0 10749536 1087176 8279352    0    0     0   984 22764 43635 47 16 37  1  0
15  0      0 10749536 1087176 8279352    0    0     0   892 19219 36903 53 12 34  0  0
17  0      0 10749536 1087176 8279352    0    0     0  1220 24204 48733 41 19 40  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  1320 19084 39651 50 15 35  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   936 22972 41959 49 14 36  1  0
 6  1      0 10749536 1087176 8279352    0    0     0   836 20534 39977 49 14 36  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  7308 21489 37700 50 15 35  0  0
 7  0      0 10749536 1087176 8279352    0    0     0 24372 21995 40384 50 14 35  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1212 22824 46789 51 17 31  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   864 19681 40339 49 17 34  0  0
 8  1      0 10749536 1087176 8279352    0    0     0   752 21841 39468 57 14 29  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1144 18767 39044 48 14 37  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1184 21603 44687 52 21 27  0  0
15  0      0 10749536 1087176 8279352    0    0     0  2600 20359 44729 37 15 48  1  0
17  0      0 10749536 1087176 8279352    0    0     0   740 21000 39217 42 14 43  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   800 21882 43258 50 14 36  1  0
 6  0      0 10749536 1087176 8279352    0    0     0  1276 23791 47187 52 19 29  1  0
12  0      0 10749536 1087176 8279352    0    0     0  1632 22191 52269 41 18 41  1  0
11  0      0 10749536 1087176 8279352    0    0     0  2356 21390 42659 53 17 30  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 10749536 1087176 8279352    0    0     0   712 21267 40092 47 13 40  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   968 23442 47440 48 16 35  0  0
10  0      0 10749536 1087176 8279352    0    0     0   744 19291 36099 50 15 34  1  0
 9  0      0 10749536 1087176 8279352    0    0     0  8384 23138 42140 49 13 38  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   912 20774 40971 51 17 31  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   748 19810 37876 49 17 33  1  0
