# started_at=2025-12-14T01:53:18+03:00
# cmd: vmstat 1
# app_pid=1101786

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 10749536 1087176 8279352    0    0     0   420 18040 30052 33 10 57  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1976 17511 26307 44 11 44  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   504 18693 31555 43 15 42  0  0
16  1      0 10749536 1087176 8279352    0    0     0   336 17507 34220 28 10 62  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   268 17567 28166 45 10 44  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   756 17885 34999 22  9 68  1  0
 7  0      0 10749536 1087176 8279352    0    0     0  7272 19422 33884 51 14 35  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   340 17011 24161 41 11 48  0  0
12  0      0 10749536 1087176 8279352    0    0     0   456 19429 39330 29 11 59  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   568 18328 31364 46 12 42  0  0
 6  1      0 10749536 1087176 8279352    0    0     0   452 16484 29556 26 10 64  0  0
12  0      0 10749536 1087176 8279352    0    0     0  5376 20546 38258 46 12 41  1  0
 6  0      0 10749536 1087176 8279352    0    0     0   816 20407 42318 53 16 31  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   704 18887 39304 26 13 61  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   688 18556 37525 27 15 58  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   348 18674 28743 46  7 47  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   352 16319 29057 27 11 61  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   608 18377 34568 27 12 61  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 10749536 1087176 8279352    0    0     0   572 20629 35512 45 12 43  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   156 18453 25726 26 11 63  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  7732 43616 39071 26 19 55  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  2280 19648 31704 45 12 42  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   536 17318 26998 44  8 48  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   824 19316 39511 28 14 58  1  0
15  0      0 10749536 1087176 8279352    0    0     0   444 19431 32374 50 13 36  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   744 16851 26849 46 10 44  0  0
12  1      0 10749536 1087176 8279352    0    0     0   444 18990 37519 30 12 57  0  0
 5  0      0 10749536 1087176 8279352    0    0     0 10896 19468 31596 48 14 38  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   440 17937 29850 48 12 40  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   696 17305 31099 26 11 62  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   552 18995 30070 45 11 44  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1424 17877 27160 45 13 41  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  2388 19916 38378 27 12 60  1  0
 4  0      0 10749536 1087176 8279352    0    0     0   448 19618 31422 47 12 41  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  1308 18705 32142 48 12 39  1  0
 5  0      0 10749536 1087176 8279352    0    0     0 13408 22275 32452 46 12 41  1  0
12  0      0 10749536 1087176 8279352    0    0     0   632 17900 35527 25 10 64  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   344 19884 31728 40  9 50  0  0
 3  0      0 10749536 1087176 8279352    0    0     0  1020 19226 35098 49 15 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 10749536 1087176 8279352    0    0     0   556 20471 40098 58 15 26  0  0
15  0      0 10749536 1087176 8279352    0    0     0   756 16912 35140 28 10 62  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   548 18090 29840 42 12 45  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   536 18342 31344 47 12 41  0  0
 5  1      0 10749536 1087176 8279352    0    0     0   452 19250 36442 48 11 40  0  0
15  0      0 10749536 1087176 8279352    0    0     0   416 16908 30001 48 14 38  0  0
16  0      0 10749536 1087176 8279352    0    0     0  3220 18922 34242 46 13 40  1  0
 8  0      0 10749536 1087176 8279352    0    0     0   308 17164 25199 44 12 44  0  0
15  0      0 10749536 1087176 8279352    0    0     0   208 13904 24437 29  7 64  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1088 21520 37712 37 15 47  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   272 15333 27214 25  9 67  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   564 17001 29057 25 11 64  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  9864 18515 37406 23 13 64  0  0
13  0      0 10749536 1087176 8279352    0    0     0   464 20917 31704 46 14 40  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   368 18280 31269 46 12 42  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   444 18207 29649 44  9 47  0  0
11  0      0 10749536 1087176 8279352    0    0     0   728 18619 37695 30 14 55  0  0
12  0      0 10749536 1087176 8279352    0    0     0  1868 17403 28537 51 13 37  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   596 21610 36497 35 12 52  0  0
12  0      0 10749536 1087176 8279352    0    0     0   356 16948 31458 31  9 61  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   588 19283 30400 40 12 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 10749536 1087176 8279352    0    0     0  7404 18528 26326 43 12 45  0  0
17  0      0 10749536 1087176 8279352    0    0     0   752 17298 31598 30 10 60  0  0
11  0      0 10749536 1087176 8279352    0    0     0   280 16652 25893 44 10 46  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   604 18339 33624 35 14 51  0  0
13  0      0 10749536 1087176 8279352    0    0     0   380 16021 29026 31  8 60  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   496 17292 24638 37 10 52  0  0
12  0      0 10749536 1087176 8279352    0    0     0 11612 21238 39866 50 16 34  0  0
10  0      0 10749536 1087176 8279352    0    0     0   640 16836 32972 31 11 58  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   352 18692 27854 40  9 51  0  0
 8  0      0 10749536 1087176 8279352    0    0     0   656 18591 30555 45 11 44  0  0
11  0      0 10749536 1087176 8279352    0    0     0   544 17185 34785 35 12 53  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   552 18418 28256 37 11 52  0  0
23  0      0 10749536 1087176 8279352    0    0     0  1568 17130 28087 32  8 60  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   692 21132 35557 38 14 48  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   532 17004 32270 26 11 63  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   560 19403 32011 45 13 42  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   712 20007 37962 45 12 43  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  9588 18079 34232 24 13 63  0  0
 8  0      0 10749536 1087176 8279352    0    0     0   544 17559 28740 42 13 45  0  0
11  0      0 10749536 1087176 8279352    0    0     0   412 22608 35370 29 10 61  0  0
15  0      0 10749536 1087176 8279352    0    0     0   372 33254 30596 45 19 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 10749536 1087176 8279352    0    0     0   956 16625 26458 45  9 46  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   360 15102 25901 22  9 69  0  0
12  0      0 10749536 1087176 8279352    0    0     0   772 18118 36979 32 13 54  0  0
13  0      0 10749536 1087176 8279352    0    0     0   396 17645 25077 54  9 37  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   452 18705 26525 52 11 37  0  0
 3  0      0 10749536 1087176 8279352    0    0     0  7124 19271 27403 43  9 48  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  2160 20151 41703 26 16 58  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   624 19293 34509 47 15 38  0  0
15  0      0 10749536 1087176 8279352    0    0     0   524 16960 26378 46 10 44  0  0
13  0      0 10749536 1087176 8279352    0    0     0   312 17951 27952 51 12 37  0  0
10  0      0 10749536 1087176 8279352    0    0     0   716 16237 26302 48  8 43  0  0
16  0      0 10749536 1087176 8279352    0    0     0   512 17854 28812 47 13 41  0  0
13  0      0 10749536 1087176 8279352    0    0     0  1468 20971 35777 46 10 44  0  0
14  0      0 10749536 1087176 8279352    0    0     0   592 15533 27426 49 11 40  0  0
13  0      0 10749536 1087176 8279352    0    0     0 26492 24155 39028 45 15 39  1  0
16  0      0 10749536 1087176 8279352    0    0     0   276 18677 24044 49  9 42  0  0
11  0      0 10749536 1087176 8279352    0    0     0   640 20842 35186 44 15 41  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   488 19688 36528 42 13 44  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   340 18517 28627 44 11 45  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1040 20497 44065 30 16 55  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   496 20168 38427 49 13 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 10749536 1087176 8279352    0    0     0   508 17757 27394 44  9 46  0  0
 8  0      0 10749536 1087176 8279352    0    0     0   600 20122 40791 25 10 64  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   268 19039 29000 53 14 32  0  0
 8  0      0 10749536 1087176 8279352    0    0     0  2676 19172 31508 48 14 38  0  0
12  0      0 10749536 1087176 8279352    0    0     0   872 19036 33663 49 13 38  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   332 16048 24733 44 10 46  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   340 17375 32188 27  9 64  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   468 16832 33893 43 14 43  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   636 19859 25471 46  8 46  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1700 17042 27897 45 11 44  0  0
12  0      0 10749536 1087176 8279352    0    0     0   752 15544 32436 42 16 42  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   452 19642 38081 29 12 59  0  0
11  0      0 10749536 1087176 8279352    0    0     0   308 15364 26604 24  8 68  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   868 19436 34857 48 13 38  0  0
 7  0      0 10749536 1087176 8279352    0    0     0  8512 20943 37086 48 15 37  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   356 16839 29342 26  9 65  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   880 20639 42551 26 14 59  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   400 17317 28824 45 13 42  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   408 17970 27317 45  8 46  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   660 18995 30976 46 12 42  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1608 18748 37269 27 12 60  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 10749536 1087176 8279352    0    0     0   516 18857 32537 47 11 42  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   508 16571 30183 24 10 66  0  0
 8  0      0 10749536 1087176 8279352    0    0     0   720 19535 33270 47 12 41  0  0
 6  0      0 10749536 1087176 8279352    0    0     0 12868 18027 31451 45 12 42  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   396 18094 32513 23 11 66  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   680 21793 40137 46 10 43  0  0
25  0      0 10749536 1087176 8279352    0    0     0   664 17665 35578 27 13 60  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   428 18563 29881 45 12 43  0  0
14  0      0 10749536 1087176 8279352    0    0     0 14452 20432 36494 49 13 37  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  2808 20525 37948 55 18 27  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   408 20465 39564 47 11 42  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   440 16650 26909 48 11 42  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   696 19722 39200 26 11 62  0  0
21  0      0 10749536 1087176 8279352    0    0     0   764 18118 37516 36 14 49  0  0
 7  0      0 10749536 1087176 8279352    0    0     0  2156 20182 34421 40 15 45  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   596 19258 34909 47 12 41  0  0
20  0      0 10749536 1087176 8279352    0    0     0   300 20411 30111 30 11 59  0  0
 3  0      0 10749536 1087176 8279352    0    0     0   324 29281 25880 42 15 43  0  0
13  0      0 10749536 1087176 8279352    0    0     0  1084 17619 31201 41 13 46  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   736 18831 32857 31 11 58  0  0
10  0      0 10749536 1087176 8279352    0    0     0   416 19389 36821 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 10749536 1087176 8279352    0    0     0   752 17977 28296 46 12 43  0  0
11  0      0 10749536 1087176 8279352    0    0     0   448 18510 31370 57  9 34  0  0
15  0      0 10749536 1087176 8279352    0    0     0  7368 20075 35607 46 14 39  0  0
12  0      0 10749536 1087176 8279352    0    0     0   444 19637 36164 44 12 43  0  0
12  0      0 10749536 1087176 8279352    0    0     0  1860 19368 30451 53 12 35  0  0
11  0      0 10749536 1087176 8279352    0    0     0   708 20395 35564 47 13 40  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   372 19961 32746 32 11 57  0  0
20  0      0 10749536 1087176 8279352    0    0     0   860 17927 31825 31 12 57  0  0
16  0      0 10749536 1087176 8279352    0    0     0 13856 17233 26257 50 11 39  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  1732 20444 32556 45 13 41  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   724 16954 32268 25 13 62  0  0
 6  0      0 10749536 1087176 8279352    0    0     0 17060 25317 44111 51 16 33  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   428 18383 28284 44  9 47  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   680 20359 40284 26 13 60  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   996 20162 39667 51 16 32  0  0
17  0      0 10749536 1087176 8279352    0    0     0   412 17022 28947 26  9 65  0  0
12  0      0 10749536 1087176 8279352    0    0     0   428 18065 28987 47 13 40  0  0
15  0      0 10749536 1087176 8279352    0    0     0  1336 19187 33002 46 15 39  0  0
16  0      0 10749536 1087176 8279352    0    0     0   376 15593 27458 48 10 42  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   452 18185 27706 37  9 54  0  0
 9  0      0 10749536 1087176 8279352    0    0     0   320 17490 30600 33 10 56  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 10749536 1087176 8279352    0    0     0   700 19143 34962 44 14 42  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  2588 18901 29782 39 11 49  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   512 18132 31685 47 11 42  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   856 19603 40334 49 17 34  0  0
11  0      0 10749536 1087176 8279352    0    0     0   312 17126 33415 36 10 54  0  0
11  0      0 10749536 1087176 8279352    0    0     0   376 18790 27202 43 10 46  0  0
13  0      0 10749536 1087176 8279352    0    0     0   752 16406 24208 54 10 36  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   956 21056 38264 35 17 47  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   484 19139 35195 44 12 44  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   272 17541 28093 44  8 48  0  0
12  0      0 10749536 1087176 8279352    0    0     0   720 18749 37434 30 14 56  1  0
 4  0      0 10749536 1087176 8279352    0    0     0 22512 22643 34150 46 12 41  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   692 18166 29410 53 13 34  0  0
 4  1      0 10749536 1087176 8279352    0    0     0   496 17887 30251 48 12 39  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   692 18839 36219 27 13 60  1  0
 7  0      0 10749536 1087176 8279352    0    0     0   448 16994 25344 43 10 46  0  0
13  0      0 10749536 1087176 8279352    0    0     0  4428 17922 31589 26  9 65  0  0
13  0      0 10749536 1087176 8279352    0    0     0   836 19271 33362 45 16 39  0  0
13  0      0 10749536 1087176 8279352    0    0     0   492 18219 33921 49 12 39  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   412 17914 27174 44 10 46  0  0
12  0      0 10749536 1087176 8279352    0    0     0   472 16675 29216 34 11 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 10749536 1087176 8279352    0    0     0  2428 21935 40819 39 13 48  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   536 17174 28645 46 13 41  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   420 18762 33143 45  9 45  0  0
11  0      0 10749536 1087176 8279352    0    0     0   524 16830 33883 37 14 49  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   580 18958 27774 37 11 51  1  0
12  0      0 10749536 1087176 8279352    0    0     0   584 18404 36881 29 11 60  0  0
 5  0      0 10749536 1087176 8279352    0    0     0  1900 22500 40520 47 13 40  0  0
10  0      0 10749536 1087176 8279352    0    0     0   880 20481 37986 53 15 31  0  0
16  0      0 10749536 1087176 8279352    0    0     0   720 19226 28893 53 14 33  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   700 20527 37526 44 14 42  1  0
 3  0      0 10749536 1087176 8279352    0    0     0   652 19067 37917 28 13 59  0  0
17  0      0 10749536 1087176 8279352    0    0     0  2028 17505 30936 33 12 54  0  0
11  0      0 10749536 1087176 8279352    0    0     0   816 21907 38862 46 12 42  0  0
12  0      0 10749536 1087176 8279352    0    0     0   424 21547 27972 51 15 34  0  0
16  0      0 10749536 1087176 8279352    0    0     0   488 37622 27497 48 16 36  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   204 18083 27720 33 10 57  0  0
14  0      0 10749536 1087176 8279352    0    0     0 15684 20115 40269 34 14 50  1  0
