# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -u -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:53:28 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:29 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:29 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:29 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:29 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:29 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:29 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:30 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:30 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:30 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:30 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:30 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:30 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:31 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     5  app_linux_amd64
01:53:31 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:31 AM 174209043         -   1101788    0.00    1.00    0.00    1.00    1.00     8  |__app_linux_amd64
01:53:31 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:31 AM 174209043         -   1101791    0.00    0.00    0.00    1.00    0.00     8  |__app_linux_amd64
01:53:31 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:32 AM 174209043   1101786         -    1.00    1.00    0.00    0.00    2.00     0  app_linux_amd64
01:53:32 AM 174209043         -   1101786    0.00    1.00    0.00    0.00    1.00     0  |__app_linux_amd64
01:53:32 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:32 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:32 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:32 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:33 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:33 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:33 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:33 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:33 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:33 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:34 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     7  app_linux_amd64
01:53:34 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:34 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:34 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:34 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:34 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:35 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     5  app_linux_amd64
01:53:35 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:35 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:35 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:35 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:35 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:36 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:36 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:36 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:36 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:36 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:36 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:37 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00    10  app_linux_amd64
01:53:37 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:37 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:38 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     9  app_linux_amd64
01:53:38 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:38 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:38 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:38 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:38 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:39 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:39 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:39 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:39 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:39 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:39 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:40 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:40 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:40 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:40 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:40 AM 174209043         -   1101791    0.00    1.00    0.00    0.00    1.00     7  |__app_linux_amd64
01:53:40 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:41 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:41 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:41 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:41 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:41 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:41 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:42 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     9  app_linux_amd64
01:53:42 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:42 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:42 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:42 AM 174209043         -   1101791    1.00    0.00    0.00    0.00    1.00     7  |__app_linux_amd64
01:53:42 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:43 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:43 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:43 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:43 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:43 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:43 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:44 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:44 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:44 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:44 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:44 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:44 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:45 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     9  app_linux_amd64
01:53:45 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:45 AM 174209043         -   1101788    0.00    0.00    0.00    1.00    0.00    10  |__app_linux_amd64
01:53:45 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:45 AM 174209043         -   1101791    0.00    0.00    0.00    1.00    0.00     6  |__app_linux_amd64
01:53:45 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:46 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:46 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:46 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:46 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:46 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:46 AM 174209043         -   1101792    1.00    0.00    0.00    0.00    1.00     1  |__app_linux_amd64
01:53:47 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:47 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:47 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:47 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:47 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:47 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:48 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:48 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:48 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:48 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:48 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:48 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:49 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     4  app_linux_amd64
01:53:49 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:49 AM 174209043         -   1101788    0.00    1.00    0.00    0.00    1.00     1  |__app_linux_amd64
01:53:49 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:49 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:49 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:50 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:50 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:50 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:50 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:50 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:50 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:51 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:51 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:51 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:51 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:51 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:51 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:52 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:52 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:52 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:52 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:52 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:52 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:53 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:53 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:53 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:53 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:53 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:53 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:54 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     2  app_linux_amd64
01:53:54 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:54 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:54 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:54 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:54 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:55 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     5  app_linux_amd64
01:53:55 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:55 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     1  |__app_linux_amd64
01:53:55 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:55 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:55 AM 174209043         -   1101792    1.00    0.00    0.00    0.00    1.00     4  |__app_linux_amd64
01:53:56 AM 174209043   1101786         -    1.00    0.00    0.00    1.00    1.00     2  app_linux_amd64
01:53:56 AM 174209043         -   1101786    1.00    0.00    0.00    1.00    1.00     2  |__app_linux_amd64
01:53:56 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:56 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:56 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     1  |__app_linux_amd64
01:53:56 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:57 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     8  app_linux_amd64
01:53:57 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:57 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:57 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:57 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:57 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:58 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     3  app_linux_amd64
01:53:58 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:58 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:58 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:58 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     1  |__app_linux_amd64
01:53:58 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:59 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00    11  app_linux_amd64
01:53:59 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:59 AM 174209043         -   1101788    0.00    0.00    0.00    1.00    0.00     5  |__app_linux_amd64
01:53:59 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:59 AM 174209043         -   1101791    1.00    0.00    0.00    0.00    1.00     5  |__app_linux_amd64
01:53:59 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:54:00 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00    11  app_linux_amd64
01:54:00 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:54:00 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:54:00 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:54:00 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:54:00 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:54:01 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00    10  app_linux_amd64
01:54:01 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:54:01 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:54:01 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:54:01 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:54:01 AM 174209043         -   1101792    0.00    0.00    0.00    1.00    0.00     6  |__app_linux_amd64
01:54:02 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00     8  app_linux_amd64
01:54:02 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:54:02 AM 174209043         -   1101788    0.00    0.00    0.00    1.00    0.00     9  |__app_linux_amd64
01:54:02 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:54:02 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:54:02 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:54:03 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     2  app_linux_amd64
