# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -q 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:55:08 AM        14      1757      6.63      5.55      4.71         0
01:55:09 AM        11      1758      6.74      5.59      4.73         0
01:55:10 AM         4      1759      6.74      5.59      4.73         0
01:55:11 AM        13      1756      6.74      5.59      4.73         0
01:55:12 AM         4      1756      6.74      5.59      4.73         0
01:55:13 AM         5      1756      6.74      5.59      4.73         0
01:55:14 AM         4      1758      6.60      5.58      4.73         0
01:55:15 AM         4      1758      6.60      5.58      4.73         0
01:55:16 AM        13      1760      6.60      5.58      4.73         0
01:55:17 AM         3      1759      6.60      5.58      4.73         0
01:55:18 AM         6      1764      6.60      5.58      4.73         0
01:55:19 AM         9      1760      6.39      5.55      4.73         0
01:55:20 AM        12      1756      6.39      5.55      4.73         0
01:55:21 AM         3      1757      6.39      5.55      4.73         0
01:55:22 AM        16      1757      6.39      5.55      4.73         0
01:55:23 AM         2      1755      6.39      5.55      4.73         0
01:55:24 AM         7      1756      6.52      5.60      4.75         0
01:55:25 AM        15      1755      6.52      5.60      4.75         0
01:55:26 AM        10      1753      6.52      5.60      4.75         0
01:55:27 AM         3      1753      6.52      5.60      4.75         0
01:55:28 AM        11      1755      6.52      5.60      4.75         0
01:55:29 AM         4      1753      6.32      5.57      4.74         0
01:55:30 AM         7      1783      6.32      5.57      4.74         0
01:55:31 AM        10      1772      6.32      5.57      4.74         0
01:55:32 AM         5      1776      6.32      5.57      4.74         0
01:55:33 AM         5      1759      6.32      5.57      4.74         0
01:55:34 AM        10      1756      6.14      5.54      4.74         0
01:55:35 AM         4      1756      6.14      5.54      4.74         0
01:55:36 AM        20      1757      6.14      5.54      4.74         0
01:55:37 AM         5      1756      6.14      5.54      4.74         0
01:55:38 AM         6      1756      6.14      5.54      4.74         0
01:55:39 AM         5      1763      6.20      5.57      4.75         0
01:55:40 AM         6      1757      6.20      5.57      4.75         0
01:55:41 AM         2      1755      6.20      5.57      4.75         0
01:55:42 AM         4      1757      6.20      5.57      4.75         0
01:55:43 AM        32      1765      6.20      5.57      4.75         0
01:55:44 AM        14      1754      6.51      5.64      4.78         0
01:55:45 AM         4      1752      6.51      5.64      4.78         0
01:55:46 AM         5      1748      6.51      5.64      4.78         0
01:55:47 AM        10      1747      6.51      5.64      4.78         0
01:55:48 AM        14      1747      6.51      5.64      4.78         0
01:55:49 AM         7      1749      6.31      5.61      4.77         0
01:55:50 AM         3      1748      6.31      5.61      4.77         0
01:55:51 AM         9      1747      6.31      5.61      4.77         0
01:55:52 AM         3      1745      6.31      5.61      4.77         0
01:55:53 AM        21      1747      6.31      5.61      4.77         0
01:55:54 AM        11      1746      6.12      5.59      4.77         0
01:55:55 AM         8      1746      6.12      5.59      4.77         0
01:55:56 AM        11      1746      6.12      5.59      4.77         0
01:55:57 AM        11      1746      6.12      5.59      4.77         0
01:55:58 AM        17      1758      6.12      5.59      4.77         0
01:55:59 AM        12      1756      6.43      5.66      4.80         0
01:56:00 AM        16      1758      6.43      5.66      4.80         0
01:56:01 AM        13      1757      6.43      5.66      4.80         0
01:56:02 AM         3      1755      6.43      5.66      4.80         0
01:56:03 AM         4      1757      6.43      5.66      4.80         0
01:56:04 AM         5      1784      6.32      5.65      4.80         0
01:56:05 AM         3      1774      6.32      5.65      4.80         0
01:56:06 AM         6      1773      6.32      5.65      4.80         0
01:56:07 AM         9      1763      6.32      5.65      4.80         0
01:56:08 AM         5      1757      6.32      5.65      4.80         0
01:56:09 AM         6      1757      6.53      5.70      4.82         0
01:56:10 AM         6      1758      6.53      5.70      4.82         0
01:56:11 AM         8      1757      6.53      5.70      4.82         0
01:56:12 AM         4      1758      6.53      5.70      4.82         0
01:56:13 AM         5      1760      6.53      5.70      4.82         0
01:56:14 AM         4      1757      6.25      5.66      4.81         0
01:56:15 AM         4      1757      6.25      5.66      4.81         0
01:56:16 AM        12      1762      6.25      5.66      4.81         0
01:56:17 AM         5      1763      6.25      5.66      4.81         0
01:56:18 AM        14      1760      6.25      5.66      4.81         0
01:56:19 AM         7      1766      6.07      5.63      4.81         0
01:56:20 AM         9      1760      6.07      5.63      4.81         0
01:56:21 AM         7      1759      6.07      5.63      4.81         0
01:56:22 AM         5      1763      6.07      5.63      4.81         0
01:56:23 AM         4      1758      6.07      5.63      4.81         0
01:56:24 AM         6      1762      5.82      5.59      4.80         0
01:56:25 AM         7      1765      5.82      5.59      4.80         0
01:56:26 AM        11      1761      5.82      5.59      4.80         0
01:56:27 AM         9      1760      5.82      5.59      4.80         0
01:56:28 AM         5      1762      5.82      5.59      4.80         0
01:56:29 AM         8      1760      6.24      5.68      4.83         0
01:56:30 AM         5      1760      6.24      5.68      4.83         0
01:56:31 AM         5      1762      6.24      5.68      4.83         0
01:56:32 AM         4      1764      6.24      5.68      4.83         0
01:56:33 AM         7      1762      6.24      5.68      4.83         0
01:56:34 AM         4      1761      6.22      5.68      4.84         0
01:56:35 AM         7      1766      6.22      5.68      4.84         0
01:56:36 AM         5      1783      6.22      5.68      4.84         0
01:56:37 AM         4      1780      6.22      5.68      4.84         0
01:56:38 AM         7      1767      6.22      5.68      4.84         0
01:56:39 AM         7      1766      6.12      5.67      4.84         0
01:56:40 AM        15      1764      6.12      5.67      4.84         0
