# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:53:32 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:32 AM 174209043         -   1101791     24.00      5.00  |__app_linux_amd64
01:53:32 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:53:33 AM 174209043   1101786         -     21.00      0.00  app_linux_amd64
01:53:33 AM 174209043         -   1101786     21.00      0.00  |__app_linux_amd64
01:53:33 AM 174209043         -   1101788     30.00      0.00  |__app_linux_amd64
01:53:33 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:33 AM 174209043         -   1101791     26.00      4.00  |__app_linux_amd64
01:53:33 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:53:34 AM 174209043   1101786         -     23.00      1.00  app_linux_amd64
01:53:34 AM 174209043         -   1101786     23.00      1.00  |__app_linux_amd64
01:53:34 AM 174209043         -   1101788     52.00      0.00  |__app_linux_amd64
01:53:34 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:34 AM 174209043         -   1101791     31.00      1.00  |__app_linux_amd64
01:53:34 AM 174209043         -   1101792      2.00      0.00  |__app_linux_amd64
01:53:35 AM 174209043   1101786         -     25.00      2.00  app_linux_amd64
01:53:35 AM 174209043         -   1101786     25.00      2.00  |__app_linux_amd64
01:53:35 AM 174209043         -   1101788    129.00      0.00  |__app_linux_amd64
01:53:35 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:35 AM 174209043         -   1101791     31.00      1.00  |__app_linux_amd64
01:53:35 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:53:36 AM 174209043   1101786         -     26.00      1.00  app_linux_amd64
01:53:36 AM 174209043         -   1101786     26.00      1.00  |__app_linux_amd64
01:53:36 AM 174209043         -   1101788    135.00      0.00  |__app_linux_amd64
01:53:36 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:36 AM 174209043         -   1101791     24.00      0.00  |__app_linux_amd64
01:53:36 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:53:37 AM 174209043   1101786         -     27.00      0.00  app_linux_amd64
01:53:37 AM 174209043         -   1101786     27.00      0.00  |__app_linux_amd64
01:53:37 AM 174209043         -   1101788     28.00      0.00  |__app_linux_amd64
01:53:37 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:37 AM 174209043         -   1101791     23.00      2.00  |__app_linux_amd64
01:53:37 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:53:38 AM 174209043   1101786         -     20.00      0.00  app_linux_amd64
01:53:38 AM 174209043         -   1101786     20.00      0.00  |__app_linux_amd64
01:53:38 AM 174209043         -   1101788     28.00      0.00  |__app_linux_amd64
01:53:38 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:38 AM 174209043         -   1101791     28.00      0.00  |__app_linux_amd64
01:53:38 AM 174209043         -   1101792      1.00      0.00  |__app_linux_amd64
01:53:39 AM 174209043   1101786         -     27.00      1.00  app_linux_amd64
01:53:39 AM 174209043         -   1101786     27.00      1.00  |__app_linux_amd64
01:53:39 AM 174209043         -   1101788     24.00      0.00  |__app_linux_amd64
01:53:39 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:39 AM 174209043         -   1101791     29.00      0.00  |__app_linux_amd64
01:53:39 AM 174209043         -   1101792      1.00      0.00  |__app_linux_amd64
01:53:40 AM 174209043   1101786         -     13.00      1.00  app_linux_amd64
01:53:40 AM 174209043         -   1101786     13.00      1.00  |__app_linux_amd64
01:53:40 AM 174209043         -   1101788     24.00      0.00  |__app_linux_amd64
01:53:40 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:40 AM 174209043         -   1101791     21.00      0.00  |__app_linux_amd64
01:53:40 AM 174209043         -   1101792     10.00      3.00  |__app_linux_amd64
01:53:41 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:41 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:41 AM 174209043         -   1101788     35.00      0.00  |__app_linux_amd64
01:53:41 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:41 AM 174209043         -   1101791     37.00      4.00  |__app_linux_amd64
01:53:41 AM 174209043         -   1101792     28.00      2.00  |__app_linux_amd64
01:53:42 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:42 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:42 AM 174209043         -   1101788     22.00      0.00  |__app_linux_amd64
01:53:42 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:42 AM 174209043         -   1101791     23.00      0.00  |__app_linux_amd64
01:53:42 AM 174209043         -   1101792     22.00      0.00  |__app_linux_amd64
01:53:43 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
