# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:57:15 AM 174209043         -   1101786      6.00      0.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1101788    290.00      0.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1101792    106.00      3.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1108705     14.00      2.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1108706    114.00      2.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:15 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043   1101786         -     35.00      0.00  app_linux_amd64
01:57:16 AM 174209043         -   1101786     35.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1101788    235.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1101792     80.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1108705      6.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1108706     59.00      1.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:16 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043   1101786         -     87.00      2.00  app_linux_amd64
01:57:17 AM 174209043         -   1101786     87.00      2.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1101788    304.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1101792     76.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1108705      0.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1108706     46.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:17 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043   1101786         -     97.00      4.00  app_linux_amd64
01:57:18 AM 174209043         -   1101786     97.00      4.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1101788    192.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1101792      3.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1108705      0.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1108706     95.00      6.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:18 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043   1101786         -    104.00      0.00  app_linux_amd64
01:57:19 AM 174209043         -   1101786    104.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1101788     70.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1101792      2.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1108705      4.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1108706    107.00      2.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:19 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043   1101786         -     18.00      5.00  app_linux_amd64
01:57:20 AM 174209043         -   1101786     18.00      5.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1101788    198.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1108705     83.00      1.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1108706     97.00      5.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:20 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043   1101786         -     42.00      0.00  app_linux_amd64
01:57:21 AM 174209043         -   1101786     42.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1101788     67.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1101792      2.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1108705     92.00      1.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1108706     58.00      1.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:21 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043   1101786         -     54.00      3.00  app_linux_amd64
01:57:22 AM 174209043         -   1101786     54.00      3.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1101788    150.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1101792     27.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1108705      2.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1108706     70.00      2.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:22 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043   1101786         -     12.00      0.00  app_linux_amd64
01:57:23 AM 174209043         -   1101786     12.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1101788    183.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1101792     63.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1108705     54.00      1.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1108706     18.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:23 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043   1101786         -     63.00      2.00  app_linux_amd64
01:57:24 AM 174209043         -   1101786     63.00      2.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1101788    143.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1101792     88.00      2.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1108705     22.00      3.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:24 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043   1101786         -     88.00      0.00  app_linux_amd64
01:57:25 AM 174209043         -   1101786     88.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1101788    158.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1108705     91.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1108706      4.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:25 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043   1101786         -     94.00      1.00  app_linux_amd64
01:57:26 AM 174209043         -   1101786     94.00      1.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1101788    238.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1101792     77.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1108705     13.00      1.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1108706     13.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:26 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043   1101786         -     18.00      2.00  app_linux_amd64
01:57:27 AM 174209043         -   1101786     18.00      2.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1101788    281.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1101792     27.00      2.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1108705     70.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1108706    100.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:27 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:28 AM 174209043   1101786         -     67.00      0.00  app_linux_amd64
01:57:28 AM 174209043         -   1101786     67.00      0.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1101788    215.00      1.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1101792     20.00      3.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1108705     42.00      1.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1108706     65.00      2.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:28 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043   1101786         -     22.00      0.00  app_linux_amd64
01:57:29 AM 174209043         -   1101786     22.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1101788    220.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1108705     71.00      3.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1108706     76.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:29 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043   1101786         -      2.00      0.00  app_linux_amd64
01:57:30 AM 174209043         -   1101786      2.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1101788    169.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1101792     31.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1108705     47.00      1.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1108706     67.00      3.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:30 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043   1101786         -      1.00      0.00  app_linux_amd64
01:57:31 AM 174209043         -   1101786      1.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1101788    200.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1101792     69.00      4.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1108705     52.00      3.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1108706     22.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:31 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043   1101786         -     63.00      0.00  app_linux_amd64
01:57:32 AM 174209043         -   1101786     63.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1101788    133.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1101792     87.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1108705      4.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1108706     20.00      2.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:32 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043   1101786         -     82.00      6.00  app_linux_amd64
01:57:33 AM 174209043         -   1101786     82.00      6.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1101788     54.00      1.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1101792     80.00      4.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1108705      3.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1108706      2.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:33 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043   1101786         -     11.00      1.00  app_linux_amd64
01:57:34 AM 174209043         -   1101786     11.00      1.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1101788    119.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1101792     41.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1108705     82.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1108706     31.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:34 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043   1101786         -     58.00      1.00  app_linux_amd64
01:57:35 AM 174209043         -   1101786     58.00      1.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1101788     62.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1108705     92.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1108706     40.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:35 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043   1101786         -     53.00      5.00  app_linux_amd64
01:57:36 AM 174209043         -   1101786     53.00      5.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1101788    168.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1101792     35.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1108705      5.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1108706     77.00      1.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:36 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043   1101786         -      3.00      0.00  app_linux_amd64
01:57:37 AM 174209043         -   1101786      3.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1101788    207.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1101792    107.00      2.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1108705      2.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1108706     88.00      8.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:37 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043   1101786         -     28.00      0.00  app_linux_amd64
01:57:38 AM 174209043         -   1101786     28.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1101788    203.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1101792    105.00      7.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1108705      2.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1108706     84.00      1.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:38 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043   1101786         -     66.00      1.00  app_linux_amd64
01:57:39 AM 174209043         -   1101786     66.00      1.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1101788    215.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1101792     29.00      2.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1108705      3.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1108706     51.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:39 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043   1101786         -     64.00      0.00  app_linux_amd64
01:57:40 AM 174209043         -   1101786     64.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1101788    193.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1101792     10.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1108705     33.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1108706     35.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:40 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043   1101786         -     69.00      1.00  app_linux_amd64
01:57:41 AM 174209043         -   1101786     69.00      1.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1101788    233.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1101792     14.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1108705     56.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1108706      3.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:41 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:57:42 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1101788     85.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1101792     45.00      2.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1108705     29.00      2.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1108706     60.00      4.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:42 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:57:43 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1101788    274.00      2.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1101792     96.00      7.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1108705    121.00      4.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1108706      3.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:43 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:44 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:57:44 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1101788    274.00      3.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1101792     71.00      5.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1108705     62.00      5.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1108706     52.00      1.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:44 AM 174209043         -   1110564      0.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043   1101786         -      1.00      0.00  app_linux_amd64
01:57:45 AM 174209043         -   1101786      1.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1101788    308.00      1.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1101791      1.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1101792     22.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1108705    109.00      3.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1108706     87.00      1.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1109455      6.00      0.00  |__app_linux_amd64
01:57:45 AM 174209043         -   1110564      5.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:57:46 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1101788    293.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1108705    115.00      2.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1109455     75.00      0.00  |__app_linux_amd64
01:57:46 AM 174209043         -   1110564     52.00      1.00  |__app_linux_amd64
01:57:47 AM 174209043   1101786         -     19.00      0.00  app_linux_amd64
01:57:47 AM 174209043         -   1101786     19.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1101788    364.00      1.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1108705      4.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1109455    106.00      6.00  |__app_linux_amd64
01:57:47 AM 174209043         -   1110564     89.00      3.00  |__app_linux_amd64
01:57:48 AM 174209043   1101786         -     16.00      0.00  app_linux_amd64
01:57:48 AM 174209043         -   1101786     16.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1101788    139.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1108705     95.00      7.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:48 AM 174209043         -   1110564     79.00      6.00  |__app_linux_amd64
01:57:49 AM 174209043   1101786         -     67.00      0.00  app_linux_amd64
01:57:49 AM 174209043         -   1101786     67.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1101788    222.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1108705     23.00      2.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:49 AM 174209043         -   1110564     89.00      1.00  |__app_linux_amd64
01:57:50 AM 174209043   1101786         -     82.00      0.00  app_linux_amd64
01:57:50 AM 174209043         -   1101786     82.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1101788     79.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1108705     32.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1108706      0.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1109455      0.00      0.00  |__app_linux_amd64
01:57:50 AM 174209043         -   1110564    104.00      1.00  |__app_linux_amd64
01:57:51 AM 174209043   1101786         -     78.00      4.00  app_linux_amd64
01:57:51 AM 174209043         -   1101786     78.00      4.00  |__app_linux_amd64
01:57:51 AM 174209043         -   1101788    194.00      0.00  |__app_linux_amd64
01:57:51 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:57:51 AM 174209043         -   1101791      0.00      0.00  |__app_linux_amd64
01:57:51 AM 174209043         -   1101792      0.00      0.00  |__app_linux_amd64
01:57:51 AM 174209043         -   1108705     68.00      3.00  |__app_linux_amd64
